"trainM$fault_severity","X1","X2","X3"
1,0.458441823720932,0.517224311828613,0.0243338122963905
0,0.884118676185608,0.115691013634205,0.000190291670151055
1,0.458183854818344,0.539824903011322,0.00199126405641437
0,0.930976271629333,0.0688820779323578,0.00014169437054079
0,0.196288093924522,0.803433239459991,0.000278682011412457
1,0.172055795788765,0.781458735466003,0.0464854538440704
0,0.468473464250565,0.512203752994537,0.0193227827548981
0,0.723919570446014,0.275731861591339,0.00034849820076488
0,0.961749911308289,0.038111973553896,0.000138096700538881
0,0.956671416759491,0.0431877449154854,0.000140856587677263
0,0.963787496089935,0.0343485847115517,0.00186386506538838
0,0.796133637428284,0.173624530434608,0.0302417818456888
0,0.999671697616577,0.000316291057970375,1.199536563945e-05
0,0.997222423553467,0.00272085308097303,5.67152019357309e-05
0,0.994669258594513,0.00512529676780105,0.000205415213713422
0,0.989059805870056,0.0107786757871509,0.000161520933033898
0,0.74402129650116,0.255596220493317,0.000382471014745533
0,0.979095816612244,0.0206975303590298,0.000206691067432985
0,0.996380746364594,0.00351393083110452,0.000105294981040061
0,0.988796949386597,0.0111207831650972,8.23230730020441e-05
0,0.995851397514343,0.00410660216584802,4.2040272091981e-05
0,0.999864935874939,0.000124512342154048,1.05641775007825e-05
1,0.391070276498795,0.563475787639618,0.0454538874328136
0,0.825510799884796,0.160422161221504,0.0140670062974095
0,0.839818775653839,0.113331586122513,0.0468496158719063
1,0.477369427680969,0.520555913448334,0.00207464396953583
0,0.893464505672455,0.0969693958759308,0.00956604164093733
0,0.497294127941132,0.380988717079163,0.121717125177383
2,0.230617970228195,0.0406626313924789,0.728719353675842
1,0.208916142582893,0.716459512710571,0.0746243819594383
0,0.972125828266144,0.0275579988956451,0.000316122779622674
0,0.912050485610962,0.0795084163546562,0.00844109896570444
0,0.769456326961517,0.195618912577629,0.0349248200654984
0,0.976552546024323,0.0233317241072655,0.000115740978799295
0,0.857226252555847,0.142537549138069,0.000236199775827117
1,0.376378774642944,0.566334426403046,0.0572867877781391
0,0.987793385982513,0.0120048252865672,0.000201779417693615
0,0.961347758769989,0.0384796522557735,0.000172581276274286
1,0.601259589195251,0.329870313405991,0.0688701197504997
1,0.203523978590965,0.787351548671722,0.00912443548440933
0,0.912060379981995,0.0773189961910248,0.0106205828487873
0,0.899186432361603,0.0870077162981033,0.0138058913871646
2,0.181529253721237,0.267579108476639,0.550891637802124
0,0.983882665634155,0.0160509981215,6.63581377011724e-05
2,0.321535676717758,0.0620779246091843,0.616386353969574
1,0.316309452056885,0.683327794075012,0.000362704158760607
1,0.669431805610657,0.330292731523514,0.000275445199804381
0,0.991272270679474,0.00857029855251312,0.00015746452845633
0,0.842857122421265,0.151803076267242,0.0053397617302835
1,0.567585706710815,0.431926816701889,0.000487468088977039
1,0.075389601290226,0.917936861515045,0.00667360564693809
0,0.90551894903183,0.0938094928860664,0.00067157915327698
0,0.984889388084412,0.0131744872778654,0.0019361519953236
0,0.445027410984039,0.482757449150085,0.0722151547670364
0,0.767286539077759,0.221165001392365,0.0115484716370702
1,0.810840606689453,0.180429264903069,0.00873019453138113
0,0.30725634098053,0.19745247066021,0.495291233062744
2,0.320594727993011,0.221322223544121,0.458082973957062
0,0.970688343048096,0.0274114608764648,0.00190015556290746
0,0.839191675186157,0.0981290861964226,0.0626792013645172
0,0.995450437068939,0.0044249240309,0.000124610247439705
2,0.303037732839584,0.213975951075554,0.482986330986023
0,0.996640682220459,0.0032472291495651,0.00011212575918762
0,0.990408778190613,0.00943682994693518,0.00015433132648468
0,0.878205835819244,0.121342658996582,0.000451517174951732
1,0.492062747478485,0.507518112659454,0.000419116724515334
0,0.518248081207275,0.452849239110947,0.0289026945829391
0,0.841594219207764,0.154761284589767,0.00364446919411421
2,0.209068760275841,0.0683880597352982,0.722543179988861
0,0.834894478321075,0.164813369512558,0.000292202952550724
0,0.967069089412689,0.032826691865921,0.000104225990071427
0,0.763507008552551,0.236177086830139,0.000315861951094121
0,0.663274466991425,0.297985374927521,0.0387401543557644
0,0.9989173412323,0.00104153214488178,4.11403889302164e-05
1,0.26334086060524,0.700661718845367,0.0359974056482315
1,0.256492465734482,0.606269359588623,0.137238174676895
